,Date,HighTemp,LowTemp,AverageTemp,Precipitation,NauticalTwilightRise,NauticalTwilightSet
0,1/1/18,75,45,60,0,6:01,5:54
1,1/2/18,81,52,67,0,6:01,5:55
2,1/3/18,74,54,64,0,6:01,5:56
3,1/4/18,76,52,64,0,6:02,5:56
4,1/5/18,74,53,64,0,6:02,5:57
5,1/6/18,70,57,64,0,6:02,5:58
6,1/7/18,75,50,63,0,6:02,5:59
7,1/8/18,66,59,63,0.47,6:02,5:59
8,1/9/18,61,48,55,1.86,6:02,6:00
9,1/10/18,65,44,55,0,6:02,6:01
10,1/11/18,72,46,59,0,6:02,6:02
11,1/12/18,81,48,65,0,6:02,6:03
12,1/13/18,82,48,65,0,6:02,6:04
13,1/14/18,81,52,67,0,6:02,6:04
14,1/15/18,73,49,61,0,6:02,6:05
15,1/16/18,72,51,62,0,6:01,6:06
16,1/17/18,80,50,65,0,6:01,6:07
17,1/18/18,77,52,65,0,6:01,6:08
18,1/19/18,62,52,57,1.00E-16,6:01,6:09
19,1/20/18,60,48,54,0,6:01,6:10
20,1/21/18,63,39,51,0,6:00,6:10
21,1/22/18,70,42,56,0,6:00,6:11
22,1/23/18,74,42,58,0,6:00,6:12
23,1/24/18,74,45,60,0,5:59,6:13
24,1/25/18,61,44,53,0,5:59,6:14
25,1/26/18,68,42,55,0,5:58,6:15
26,1/27/18,73,43,58,0,5:58,6:16
27,1/28/18,86,54,70,0,5:57,6:17
28,1/29/18,85,61,73,0,5:57,6:18
29,1/30/18,81,57,69,0,5:56,6:19
30,1/31/18,82,49,66,0,5:55,6:20
31,2/1/18,85,51,68,0,5:54,6:21
32,2/2/18,82,51,67,0,5:54,6:22
33,2/3/18,82,51,67,0,5:53,6:23
34,2/6/18,78,51,65,0,5:52,6:25
35,2/7/18,82,49,66,0,5:51,6:26
36,2/8/18,84,50,67,0,5:50,6:27
37,2/9/18,76,52,64,0,5:49,6:28
38,2/10/18,64,53,59,0,5:49,6:28
39,2/12/18,61,49,55,0.02,5:47,6:30
40,2/13/18,65,45,55,0,5:46,6:31
41,2/14/18,67,52,60,1.00E-16,5:45,6:32
42,2/15/18,71,50,61,0,5:44,6:33
43,2/16/18,73,48,61,0,5:43,6:34
44,2/17/18,74,45,60,0,5:42,6:34
45,2/18/18,67,45,56,0,5:41,6:35
46,2/19/18,58,45,52,0,5:40,6:36
47,2/20/18,59,36,48,0,5:39,6:37
48,2/21/18,59,42,51,0,5:38,6:38
49,2/22/18,58,38,48,0,5:37,6:39
50,2/23/18,57,41,49,0,5:36,6:40
51,2/24/18,62,35,49,0,5:35,6:40
52,2/25/18,68,40,54,0,5:34,6:41
53,2/26/18,64,41,53,0.14,5:32,6:42
54,2/27/18,54,40,47,1.00E-16,5:31,6:43
55,2/28/18,60,37,49,0,5:30,6:44
56,3/1/18,61,43,52,1.00E-16,5:29,6:44
57,3/2/18,55,49,52,0.35,5:28,6:45
58,3/3/18,57,46,52,0.14,5:26,6:46
59,3/4/18,64,38,51,0,5:25,6:47
60,3/5/18,71,40,56,0,5:24,6:48
61,3/6/18,77,45,61,0,5:23,6:48
62,3/7/18,73,49,61,0,5:21,6:49
63,3/8/18,75,48,62,0,5:20,6:50
64,3/9/18,71,50,61,0,5:19,6:51
65,3/10/18,60,55,58,0.75,5:17,6:52
66,3/11/18,65,55,60,0.01,6:16,7:52
67,3/12/18,74,53,64,1.00E-16,6:15,7:53
68,3/13/18,67,57,62,0.17,6:13,7:54
69,3/14/18,62,52,57,0.23,6:12,7:55
70,3/15/18,65,49,57,0.53,6:11,7:56
71,3/16/18,59,49,54,0.07,6:09,7:56
72,3/17/18,59,48,54,0,6:08,7:57
73,3/18/18,62,42,52,0,6:06,7:58
74,3/19/18,73,45,59,0,6:05,7:59
75,3/20/18,70,53,62,0.02,6:04,8:00
76,3/21/18,61,53,57,0.63,6:02,8:00
77,3/22/18,61,54,58,0.74,6:01,8:01
78,3/23/18,67,54,61,0.02,5:59,8:02
79,3/24/18,64,50,57,0,5:58,8:03
80,3/25/18,62,50,56,0,5:56,8:04
81,3/26/18,70,48,59,0,5:55,8:04
82,3/27/18,77,50,64,0,5:54,8:05
83,3/28/18,76,49,63,0,5:52,8:06
84,3/29/18,79,53,66,0,5:51,8:07
85,3/30/18,84,54,69,0,5:49,8:08
86,4/1/18,71,54,63,0,5:46,8:09
87,4/2/18,67,55,61,0,5:45,8:10
88,4/3/18,72,53,63,0,5:43,8:11
89,4/4/18,71,51,61,0,5:42,8:12
90,4/5/18,71,55,63,0,5:41,8:13
91,4/6/18,72,55,64,0,5:39,8:14
92,4/7/18,74,57,66,0,5:38,8:14
93,4/8/18,77,55,66,0,5:36,8:15
94,4/9/18,95,54,75,0,5:35,8:16
95,4/10/18,90,61,76,0,5:33,8:17
96,4/11/18,79,57,68,0,5:32,8:18
97,4/12/18,67,53,60,0,5:31,8:19
98,4/13/18,81,56,69,0,5:29,8:20
99,4/14/18,85,53,69,0,5:28,8:21
100,4/15/18,78,53,66,0,5:26,8:22
101,4/16/18,66,50,58,0,5:25,8:22
102,4/17/18,71,49,60,0,5:24,8:23
103,4/18/18,72,50,61,0,5:22,8:24
104,4/19/18,64,48,56,1.00E-16,5:21,8:25
